Authors,Author full names,Author(s) ID,Language,AI,Title,Abstract,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Index Keywords,References,Publisher,ISSN,ISBN,CODEN,PubMed ID,Document Type,Source,EID
J.â€W. Yeh|Swe-Kai Chen|Sungâ€Jan Lin|Jie Gan|T.S. Chin|Tao-Tsung Shun|Chun-Huei Tsau|Shuâ€Jen Chang,,,,FALSE,Nanostructured Highâ€Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes,"A new approach for the design of alloys is presented in this study. These “high-entropy alloys” with multi-principal elements were synthesized using well-developed processing technologies. Preliminary results demonstrate examples of the alloys with simple crystal structures, nanostructures, and promising mechanical properties. This approach may be opening a new era in materials science and engineering.",2004,Advanced Engineering Materials,,,,,,13766,https://doi.org/10.1002/adem.200300567,,|National Tsing Hua University|National Tsing Hua University|National Tsing Hua University|National United University|National Tsing Hua University|Industrial Technology Research Institute|Chinese Culture University|National Chung Hsing University,,,,,1438-1656,,,,article,,
D.B. Miracle|O.N. Senkov,,,,FALSE,A critical review of high entropy alloys and related concepts,"High entropy alloys (HEAs) are barely 12 years old. The field has stimulated new ideas and has inspired the exploration of the vast composition space offered by multi-principal element alloys (MPEAs). Here we present a critical review of this field, with the intent of summarizing key findings, uncovering major trends and providing guidance for future efforts. Major themes in this assessment include definition of terms; thermodynamic analysis of complex, concentrated alloys (CCAs); taxonomy of current alloy families; microstructures; mechanical properties; potential applications; and future efforts. Based on detailed analyses, the following major results emerge. Although classical thermodynamic concepts are unchanged, trends in MPEAs can be different than in simpler alloys. Common thermodynamic perceptions can be misleading and new trends are described. From a strong focus on 3d transition metal alloys, there are now seven distinct CCA families. A new theme of designing alloy families by selecting elements to achieve a specific, intended purpose is starting to emerge. A comprehensive microstructural assessment is performed using three datasets: experimental data drawn from 408 different alloys and two computational datasets generated using the CALculated PHAse Diagram (CALPHAD) method. Each dataset emphasizes different elements and shows different microstructural trends. Trends in these three datasets are all predicted by a â€˜structure in â€“ structure outâ€™ (SISO) analysis developed here that uses the weighted fractions of the constituent element crystal structures in each dataset. A total of 13 distinct multi-principal element single-phase fields are found in this microstructural assessment. Relationships between composition, microstructure and properties are established for 3d transition metal MPEAs, including the roles of Al, Cr and Cu. Critical evaluation shows that commercial austenitic stainless steels and nickel alloys with 3 or more principal elements are MPEAs, as well as some established functional materials. Mechanical properties of 3d transition metal CCAs are equivalent to commercial austenitic stainless steels and nickel alloys, while some refractory metal CCAs show potential to extend the service strength and/or temperature of nickel superalloys. Detailed analyses of microstructures and properties allow two major HEA hypotheses to be resolved. Although the â€˜entropy effectâ€™ is not supported by the present data, it has nevertheless made an enduring contribution by inspiring a clearer understanding of the importance of configurational entropy on phase stability. The â€˜sluggish diffusionâ€™ hypothesis is also not supported by available data, but it motivates re-evaluation of a classical concept of metallic diffusion. Building on recent published work, the CCA field has expanded to include materials with metallic, ionic or covalent bonding. It also includes microstructures with any number of phases and any type of phases. Finally, the MPEA field is shown to include both structural and functional materials applications. A significant number of future efforts are recommended, with an emphasis on developing high-throughput experiments and computations for structural materials. The review concludes with a brief description of major accomplishments of the field and insights gained from the first 12 years of research. The field has lost none of its potency and continues to pose new questions and offer new possibilities. The vast range of complex compositions and microstructures remains the most compelling motivation for future studies.",2016,Acta Materialia,,,,,,8050,https://doi.org/10.1016/j.actamat.2016.08.081,,United States Air Force Research Laboratory|UES (United States)|United States Air Force Research Laboratory,,,,,1359-6454,,,,review,,
Y.F. Ye|Q. Wang|Jian LÃ¼|C.T. Liu|Yong Yang,,,,FALSE,High-entropy alloy: challenges and prospects,"High-entropy alloys (HEAs) are presently of great research interest in materials science and engineering. Unlike conventional alloys, which contain one and rarely two base elements, HEAs comprise multiple principal elements, with the possible number of HEA compositions extending considerably more than conventional alloys. With the advent of HEAs, fundamental issues that challenge the proposed theories, models, and methods for conventional alloys also emerge. Here, we provide a critical review of the recent studies aiming to address the fundamental issues related to phase formation in HEAs. In addition, novel properties of HEAs are also discussed, such as their excellent specific strength, superior mechanical performance at high temperatures, exceptional ductility and fracture toughness at cryogenic temperatures, superparamagnetism, and superconductivity. Due to their considerable structural and functional potential as well as richness of design, HEAs are promising candidates for new applications, which warrants further studies.",2015,Materials Today,,,,,,2760,https://doi.org/10.1016/j.mattod.2015.11.026,,City University of Hong Kong|City University of Hong Kong|City University of Hong Kong|City University of Hong Kong|City University of Hong Kong,,,,,1369-7021,,,,article,,
E.P. George|W.A. Curtin|Cemal Cem TaÅŸan,,,,FALSE,High entropy alloys: A focused review of mechanical properties and deformation mechanisms,"The high-entropy alloy (HEA) concept was based on the idea that high mixing entropy can promote formation of stable single-phase microstructures. During the past 15 years, various alloy systems have been explored to identify HEA systems with improved property combinations, leading to an extraordinary growth of this field. In the large pool of alloys with varying characteristics, the first single-phase HEA with good tensile properties, the equiatomic CrMnFeCoNi alloy has become the benchmark material, and it forms the basis of much of our current fundamental understanding of HEA mechanical behavior. As the field is evolving to the more broadly defined complex concentrated alloys (CCAs) and the available data in the literature increase exponentially, a fundamental question remains unchanged: how special are these new materials? In the first part of this review, select mechanical properties of HEAs and CCAs are compared with those of conventional engineering alloys. This task is difficult because of the limited tensile data available for HEAs and CCAs. Additionally, the wider suite of mechanical properties needed to assess structural materials is woefully lacking. Nonetheless, our evaluations have not revealed many HEAs or CCAs with properties far exceeding those of conventional engineering alloys, although specific alloys can show notable enhancements in specific properties. Consequently, it is reasonable to first approach the understanding of HEAs and CCAs through the assessment of how the well-established deformation mechanisms in conventional alloys operate or are modified in the presence of the high local complexity of the HEAs and CCAs. The second part of the paper provides a detailed review of the deformation mechanisms of HEAs with the FCC and BCC structures. For the former, we chose the CrMnFeCoNi (Cantor) alloy because it is the alloy on which the most rigorous and thorough investigations have been performed and, for the latter, we chose the TiZrHfNbTa (Senkov) alloy because this is one of the few refractory HEAs that exhibits any tensile ductility at room temperature. As expected, our review shows that the fundamental deformation mechanisms in these systems, and their dependence on basic physical properties, are broadly similar to those of conventional FCC and BCC metals. The third part of this review examines the theoretical and modeling efforts to date that seek to provide either qualitative or quantitative understanding of the mechanical performance of FCC and BCC HEAs. Since experiments reveal no fundamentally new mechanisms of deformation, this section starts with an overview of modeling perspectives and fundamental considerations. The review then turns to the evolution of modeling and predictions as compared to recent experiments, highlighting both successes and limitations. Finally, in spite of some significant successes, important directions for further theory development are discussed. Overall, while the individual deformation mechanisms or properties of the HEAs and CCAs are not, by and large, “special” relative to conventional alloys, the present HEA rush remains valuable because the compositional freedom that comes from the multi-element space will allow exploration of whether multiple mechanisms can operate sequentially or simultaneously, which may yet lead to the creation of new alloys with a spectrum of mechanical properties that are significantly superior to those of current engineering alloys.",2019,Acta Materialia,,,,,,1720,https://doi.org/10.1016/j.actamat.2019.12.015,,Oak Ridge National Laboratory|University of Tennessee at Knoxville|Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne|Massachusetts Institute of Technology,,,,,1359-6454,,,,review,,
Jienâ€Wei Yeh,,,,FALSE,Alloy Design Strategies and Future Trends in High-Entropy Alloys,"High-entropy alloys (HEAs) are newly emerging advanced materials. In contrast to conventional alloys, HEAs contain multiple principal elements, often five or more in equimolar or near-equimolar ratios. The basic principle behind HEAs is that solid-solution phases are relatively stabilized by their significantly high entropy of mixing compared to intermetallic compounds, especially at high temperatures. This makes them feasibly synthesized, processed, analyzed, and manipulated, and as well provides many opportunities for us. There are huge numbers of possible compositions and combinations of properties in the HEA field. Wise alloy design strategies for suitable compositions and processes to fit the requirements for either academic studies or industrial applications thus become especially important. In this article, four core effects were emphasized, several misconceptions on HEAs were clarified, and several routes for future HEA research and development were suggested.",2013,JOM,,,,,,1636,https://doi.org/10.1007/s11837-013-0761-6,,National Tsing Hua University,,,,,1047-4838,,,,article,,
Weidong Li|Di Xie|Dongyue Li|Yong Zhang|Yanfei Gao|Peter K. Liaw,,,,FALSE,Mechanical behavior of high-entropy alloys,"Research in the field of high-entropy alloys has been surging since the 2010s. As widely acknowledged, research interests in this field are largely sparked by the enormous possibilities in compositions, microstructures, and properties. In the first decade of extensive investigations, while many avenues of research in this vibrant field are being continuously opened, a considerable portion of endeavors is directed toward two very fundamentally important aspects. One is the exploration of the huge compositional space and microstructures with the aid of thermodynamics and kinetics, while the other is the characterization and comprehension of their mechanical behavior from fundamental and practical perspectives. Each of these two aspects contains numerous, scattered, sometimes confusing or conflicting data and findings in the literature. Thanks to several excellent comprehensive reviews [1–3], the accomplishments and challenges in the first aspect are neatly presented to researchers in the field. Nonetheless, the second aspect, i.e., the mechanical behavior of high-entropy alloys, is still largely afloat in abundant literature in a spite of some recent reviews on certain specialized topics [4–6]. In consideration of this insufficiency, the present review intends to offer a comprehensive, critical review of the mechanical behavior of high-entropy alloys and some closely related topics.",2021,Progress in Materials Science,,,,,,1159,https://doi.org/10.1016/j.pmatsci.2021.100777,,University of Tennessee at Knoxville|University of Tennessee at Knoxville|University of Science and Technology Beijing|University of Science and Technology Beijing|University of Tennessee at Knoxville|University of Tennessee at Knoxville,,,,,0079-6425,,,,article,,
Yanjiao Ma|Yuan Ma|Qingsong Wang|Simon Schweidler|Miriam Botros|Tongtong Fu|Horst Hahn|Torsten Brezesinski|Ben Breitung|Torsten Brezesinski|Ben Breitung,,,,FALSE,High-entropy energy materials: challenges and new opportunities,"An overview of high-entropy materials for energy applications, including H<sub>2</sub> catalysis and storage, CO<sub>2</sub> conversion, O<sub>2</sub> catalysis and electrochemical energy storage, is given and the challenges and opportunities within this field are discussed.",2021,Energy & Environmental Science,,,,,,799,https://doi.org/10.1039/d1ee00505g,,Karlsruhe Institute of Technology|Institute of Nanotechnology|Karlsruhe Institute of Technology|Institute of Nanotechnology|Karlsruhe Institute of Technology|Institute of Nanotechnology|Karlsruhe Institute of Technology|Institute of Nanotechnology|Karlsruhe Institute of Technology|Institute of Nanotechnology|Karlsruhe Institute of Technology|University of Waterloo|Regional Municipality of Waterloo|Institute of Nanotechnology|Karlsruhe Institute of Technology|Institute of Nanotechnology|Helmholtz-Institute Ulm|Karlsruhe Institute of Technology|University of Waterloo|Regional Municipality of Waterloo|Faculty (United Kingdom)|Engineering (Italy)|Karlsruhe Institute of Technology|Institute of Nanotechnology|Helmholtz-Institute Ulm|Karlsruhe Institute of Technology|Institute of Nanotechnology|Karlsruhe Institute of Technology|Institute of Nanotechnology,,,,,1754-5692,,,,article,,
Lida Zhu|Pengsheng Xue|Qing Lan|Guiru Meng|Yuan Ren|Zhichao Yang|Peihua Xu|Zhe Liu,,,,FALSE,Recent research and development status of laser cladding: A review,"In industries such as aerospace, petrochemistry and automobile, many parts of different machines are under environment which shows high temperature and high pressure, and have their proneness to wear and corrosion. Therefore, the wear resistibility and stability under high temperature need to be further improved. Nowadays, Laser cladding (LC) is widely used in machine parts repairing and functional coating due to its advantages such as lower dilution rate, small heat-affected zone and good metallurgical bonding between coating and substrate. In this paper, LC is introduced in detail from aspects of process simulation, monitoring and parameter optimization. At the same time, the paper gives a comprehensive review over LC material system as high entropy alloys (HEAs), amorphous alloy and single crystal alloy have been gradually showing their advantages over traditional metal materials in LC. In addition, the applications of LC in functional coatings and in maintenance of machine parts are also outlined. Also, the existing problems and the development trend of LC is discussed then.",2021,Optics & Laser Technology,,,,,,780,https://doi.org/10.1016/j.optlastec.2021.106915,,Northeastern University|Northeastern University|Northeastern University|Northeastern University|Xi'an Jiaotong University|Northeastern University|Northeastern University|Xi'an Jiaotong University,,,,,0030-3992,,,,review,,
Hailong Huang|Yuan Wu|Junyang He|Hui Wang|Xiongjun Liu|Ke An|Wei Wu|Zhaoping Lu,,,,FALSE,Phaseâ€Transformation Ductilization of Brittle Highâ€Entropy Alloys via Metastability Engineering,"Highâ€entropy alloys (HEAs) in which interesting physical, chemical, and structural properties are being continuously revealed have recently attracted extensive attention. Bodyâ€centered cubic (bcc) HEAs, particularly those based on refractory elements are promising for highâ€temperature application but generally fail by early cracking with limited plasticity at room temperature, which limits their malleability and widespread uses. Here, the â€œmetastabilityâ€engineeringâ€ strategy is exploited in brittle bcc HEAs via tailoring the stability of the constituent phases, and transformationâ€induced ductility and workâ€hardening capability are successfully achieved. This not only sheds new insights on the development of HEAs with excellent combination of strength and ductility, but also has great implications on overcoming the longâ€standing strengthâ€“ductility tradeoff of metallic materials in general.",2017,Advanced Materials,,,,,,642,https://doi.org/10.1002/adma.201701678,,University of Science and Technology Beijing|University of Science and Technology Beijing|University of Science and Technology Beijing|University of Science and Technology Beijing|University of Science and Technology Beijing|Oak Ridge National Laboratory|Oak Ridge National Laboratory|University of Science and Technology Beijing,,,,,0935-9648,,,,article,,
Xin Wang|Wei Guo|Yongzhu Fu,,,,FALSE,High-entropy alloys: emerging materials for advanced functional applications,"Accompanied by enhancements in the ability to fabricate materials for humans, alloy-based materials have advanced from binary alloy systems to complicated compositions along with affording newer applications, which can accelerate the evolution of civilization. Recently, high-entropy alloys (HEAs) have drawn enormous attention in diverse fields because of their distinctive concept and unique properties. The impressive mechanical properties, such as excellent strength, unforgettable corrosion resistance, and superior thermostability, are inherited and overwhelming compared with traditional alloys. Therefore, HEAs have become an emerging class of advanced materials leading to a new field. Based on the exceptional synthesis methods, HEAs surprisingly afford numerous energy and environmental properties, which have endowed HEAs with promising applications. In this paper, we review the salient features of HEAs and summarize their core effects, phase structures, unconventional synthesis methods, and novel energy and environmental applications. In addition, we also discuss the broad space waiting to be explored and overview fruitful pathways of future trends and prospects.",2020,Journal of Materials Chemistry A,,,,,,456,https://doi.org/10.1039/d0ta09601f,,Zhengzhou University|Zhengzhou University|Zhengzhou University,,,,,2050-7488,,,,article,,
