,DOI,Title,Abstract,AI_Methods,Abstract,Abstract
0,10.1088/2399-1984/ae19b0,The search for high-entropy fuel-cell catalysts using disorder descriptors,"The transition to a hydrogen economy depends on efficient, affordable catalysts for fuel cells. Platinum—the industry standard for fuel-cell electrodes—is costly and scarce, highlighting the need for practical alternatives. High-entropy alloys offer vast compositional diversity and tunable properties that can mitigate these issues, yet their chemical complexity and configurational disorder have hindered rational discovery. Here, we introduce a data-driven framework that couples machine learning with first-principles disorder descriptors—including the entropy forming ability, disordered enthalpy-entropy descriptor, and electronic-structure similarity metrics to platinum—to predict alloy synthesizability and catalytic performance. These descriptors are applied for the first time in the context of fuel-cell catalyst discovery. The workflow rapidly screens more than 20000 compositions and identifies several platinum-free candidates that are economically viable, readily scalable, and exhibit promising predicted activity. These results demonstrate that disorder descriptors are reliably predicted by machine learning models and can be effectively integrated into materials-discovery pipelines, accelerating innovation across complex compositional spaces. © 2025 The Author(s). Published by IOP Publishing Ltd.",,,
1,10.1016/j.est.2025.118865,Machine learning-based prediction of high-entropy alloys for hydrogen storage with optimized thermodynamic and kinetic parameters,"High-entropy alloys (HEAs), characterized by their multi-principal element compositions, have emerged as promising candidates for solid-state hydrogen storage due to their tunable structures and potential for reversible hydrogen absorption at ambient conditions. However, the vast compositional space of HEAs presents a major challenge in identifying optimal alloys with favourable storage capacity, kinetics, and thermodynamics. In this work, we propose a machine learning-assisted framework for predicting and optimizing HEA systems for hydrogen storage. A Machine Learning based Evolutionary Deep Neural Network (EvoDN2) was trained on experimental data, and tri-objective optimization was performed to maximize hydrogen storage capacity, enhance absorption/desorption kinetics, and minimize activation energy for hydrogen release. Multi-objective algorithms (NSGA-II and cRVEA) were employed to identify promising compositions. Among the predicted systems, the alloy Hf₃₄La₆.₈₁Mg₂₁.₅₃Ta₂₇V₁₀.₆₆ demonstrated the best performance, with a hydrogen storage capacity of 3.05 wt% at ambient conditions, an activation energy of 23.59 kJ·mol−1H₂, and a favourable absorption-to-desorption time ratio of 1.39. Several other alloys, including CoLaTaTi and FeLaNbTiV, also achieved capacities exceeding 3 wt% with competitive kinetics. These results underscore the potential of targeted compositional optimization for achieving a synergistic balance between storage capacity, activation energy, and absorption-to-desorption time ratio, thereby accelerating the discovery of high-performance HEAs for hydrogen storage applications. © 2025 Elsevier Ltd",,,
2,10.1016/j.jallcom.2025.185382,Experimental Investigation and Thermodynamic Assessment of the AI-Cr-8 Phase Diagram,"As a key constituent in high-entropy alloys, the Al-Cr-W system currently lacks comprehensive thermodynamic and phase equilibrium data. This investigation establishes the 873 K and 1073 K isothermal sections of the Al-Cr-W ternary system through electron probe microanalysis (EPMA) and X-ray diffraction (XRD) characterization of equilibrated alloys. The maximum ternary solid solubility of W in AlCr<inf>2</inf>, αAl<inf>8</inf>Cr<inf>5</inf>, Al<inf>4</inf>Cr, and Al<inf>7</inf>Cr was determined to be 0.48 at%, 1.12 at%, 2.55 at%, and 0.33 at%, respectively. A novel ternary intermetallic compound, τ-AlCr6W, stable at 1073 K, was identified. Differential scanning calorimetry (DSC) was employed to determine the heat flow profiles of alloys, enabling the construction of two vertical sections: Cr<inf>65</inf>Al<inf>5–25</inf>W<inf>30–10</inf> and W<inf>5</inf>Cr<inf>5–25</inf>Al<inf>90–70</inf>. First-principles calculations were performed to determine the end-member formation enthalpies of Al-Cr-W intermetallic compounds. Integrating experimental and computational results, a self-consistent thermodynamic description of the Al-Cr-W system was developed using the CALPHAD approach. The τ-AlCr<inf>6</inf>W phase was modeled with the (Al,Cr,W)<inf>1</inf>(Al,Cr,W)<inf>6</inf>(W)<inf>1</inf> sublattice formalism, while existing binary compound models were extended to incorporate ternary solubility. The optimized thermodynamic parameters demonstrate excellent agreement with experimental data, accurately reproducing phase equilibria, isothermal sections, vertical sections, and liquidus projections. © 2025 Elsevier B.V.",,,
3,10.1016/j.jallcom.2025.185217,Accelerated design of high-entropy alloys via probabilistic substitution and machine learning with first-principles validation of phase stability,"Multi-principal element compositions and complex phase behaviors define the transformative class of materials known as high-entropy alloys (HEAs). However, traditional trial-and-error discovery methods face significant challenges due to the large compositional space associated with HEAs. In this work, we propose a machine learning (ML)-driven framework to accelerate the design and screening of novel HEAs by predicting phase stability and guiding targeted synthesis. We first developed robust classification models using experimentally validated HEA datasets, incorporating 49 elemental descriptors. Among the tested algorithms, artificial neural networks (ANN) and extreme gradient boosting (XGBoost) exhibited the best performance: XGBoost achieved an accuracy of 0.886 and ROC-AUC 0.971 on the test set (see Table 1), while the ANN reached accuracy 0.878 and ROC-AUC 0.954. Using a probabilistic substitution model, 50,831 novel HEAs were generated and screened with the trained classifiers. From a small DFT validation set of twelve ML generated compounds, eleven showed negative formation energies and stability in the predicted phases. Calculation of phonon density of states confirmed the dynamical stability of the ML-predicted phases, further validating their thermodynamic stability. Investigations on AlCoCrFeNi revealed a Cr–Fe-rich disordered A2 phase and an Al–Ni-rich ordered B2 phase, both supported by thermodynamic and dynamical stability analyses. Overall, these quantitative outcomes demonstrate the framework's ability to expand compositional search space while preserving physically plausible candidates. © 2025 Elsevier B.V.",,,
4,10.1021/acsnano.5c16283,From Multinary Solid Solutions to High-Entropy Nanomaterials,"High-entropy nanomaterials (HENMs)─nanoscale solid solutions containing multiple principal elements in near-equiatomic ratios─have rapidly evolved from early multinary alloys into a broadly tunable platform spanning alloys, oxides, sulfides, and emerging ceramics such as carbides, nitrides, phosphides, and fluorides. This perspective maps that evolution across compositional expansion, dimensional reduction, and structural diversification (solid, hollow, mesoporous, and layered architectures). We synthesize current knowledge of the thermodynamic and kinetic principles that govern phase formation and metastability at the nanoscale, emphasizing the roles of configurational entropy stabilization versus enthalpy penalties, sluggish diffusion, and rapid quenching. Top-down and bottom-up routes are critically assessed, highlighting how far-from-equilibrium pathways enable homogeneous multielement mixing at the nanoscale. We further highlight high-throughput pipelines that couple continuous synthesis with rapid electrochemical mapping, and machine-learning frameworks that compress the combinatorial search space and reveal composition–structure–property rules. Finally, we outline key challenges and opportunities in component space expansion, predictive synthesis control, operando/high-throughput characterization, interpretable machine learning, device-level integration, and resource sustainability. Together, these advances facilitate the transition from “entropy-stabilized curiosities” to engineered HENMs with programmable performance for catalysis, energy conversion/storage, electronics, and extreme-environment technologies. © 2025 American Chemical Society",,,
5,10.1103/6xkw-m6s3,Data-driven prediction of thermoelastic and defect properties of Ti-V-Ta-W high-entropy alloys up to the melting point,"The theoretical investigation of high-entropy alloys (HEAs) from 0 K to melting temperature is proposed through a workflow combining density functional theory (DFT), Monte Carlo simulations, and machine learning. This workflow provides accurate predictions for HEA phases and enables a detailed characterization of defects in HEAs. This study enables the incorporation of anharmonic vibrational free energy in the understanding of point defects in HEAs, providing a useful approach for understanding the complex energy landscape of HEAs. The chosen HEA is Ti-V-Ta-W, for which thousands of DFT calculations over a wide range of compositions were conducted to design a reliable machine-learning force field. Predicted properties such as lattice parameters, elastic constants, distributions of formation energies of vacancy and interstitial defects, and anharmonic free energy of monovacancy formation have been discussed. This paper opens the way for a systematic investigation of high-temperature HEA properties with DFT accuracy. The presented methodology can support systematic investigation of high-temperature HEA properties with DFT-level accuracy. © 2025 American Physical Society",,,
6,10.1038/s41524-025-01548-y,EFTGAN: Elemental features and transferring corrected data augmentation for the study of high-entropy alloys,"Using machine learning to predict and design materials is an important mean of accelerating material development. One way to improve the accuracy of machine learning predictions is to introduce material structures as descriptors. However, the complexity of computing material structures limits the practical use of these models. To address this challenge and improve prediction accuracy in small data sets, we develop a generative network framework: Elemental Features enhanced and Transferring corrected data augmentation in Generative Adversarial Networks (EFTGAN). Combining the elemental convolution technique with Generative Adversarial Networks (GAN), EFTGAN provides a robust and efficient approach for generating data containing elemental and structural information that can be used not only for data augmentation to improve model accuracy, but also for prediction when the structures are unknown. Applying this framework to the FeNiCoCrMn/Pd high-entropy alloys, we successfully improve the prediction accuracy in a small data set and predict the concentration-dependent formation energies, lattices, and magnetic moments in quinary systems. This study provides a new algorithm to improve the performance and usability of deep learning with structures as inputs, which is effective and accurate for the prediction and development of materials for small data sets. © The Author(s) 2025.",,,
7,10.1038/s41524-024-01505-1,Quantum annealing-assisted lattice optimization,"High Entropy Alloys (HEAs) have drawn great interest due to their exceptional properties compared to conventional materials. The configuration of HEA system is considered a key to their superior properties, but exhausting all possible configurations of atom coordinates and species to find the ground energy state is extremely challenging. In this work, we proposed a quantum annealing-assisted lattice optimization (QALO) algorithm, which is an active learning framework that integrates the Field-aware Factorization Machine (FFM) as the surrogate model for lattice energy prediction, Quantum Annealing (QA) as an optimizer and Machine Learning Potential (MLP) for ground truth energy calculation. By applying our algorithm to the NbMoTaW alloy, we reproduced the Nb depletion and W enrichment observed in bulk HEA. We found our optimized HEAs to have superior mechanical properties compared to the randomly generated alloy configurations. Our algorithm highlights the potential of quantum computing in materials design and discovery, laying a foundation for further exploring and optimizing structure-property relationships. © The Author(s) 2025.",,,
8,10.1038/s41529-025-00709-0,Optimization of high-entropy alloy coating design using machine learning methods,"This study focuses on optimizing the design of high-entropy alloy coatings to enhance corrosion resistance in lead-bismuth eutectic environments. Using machine learning methods, including artificial neural networks (ANN), random forest (RF), eXtreme gradient boosting (XGBoost), and support vector machine (SVM), the research predicts the corrosion and mechanical properties of AlCrFeMoTi high-entropy alloy coatings. ANN showed the best comprehensive predictive ability. The study validates the use of machine learning (ML) for optimizing high-entropy alloy (HEA) coating design, offering a novel approach to improving material performance in high-temperature liquid metal environments. This work provides a theoretical foundation for developing corrosion-resistant coatings for advanced nuclear reactors. © The Author(s) 2025.",,,
9,10.1038/s41524-025-01856-3,Electronic structure prediction of medium and high entropy alloys across composition space,"We propose machine learning (ML) models to predict the electron density — the fundamental unknown of a material’s ground state — across the composition space of concentrated alloys. From this, other physical properties can be inferred, enabling accelerated exploration. A significant challenge is that the number of descriptors and sampled compositions required for accurate prediction grows rapidly with species. To address this, we employ Bayesian Active Learning (AL), which minimizes training data requirements by leveraging uncertainty quantification capabilities of Bayesian Neural Networks. Compared to the strategic tessellation of the composition space, Bayesian-AL reduces the number of training data points by a factor of 2.5 for ternary (SiGeSn) and 1.7 for quaternary (CrFeCoNi) systems. We also introduce easy-to-optimize, body-attached-frame descriptors, which respect physical symmetries while keeping descriptor-vector size nearly constant as alloy complexity increases. Our ML models demonstrate high accuracy and generalizability in predicting both electron density and energy across composition space. © The Author(s) 2025.",,,
